Creating window glfw
Episode: 0 | Return: 369.4884759633961
Episode: 1 | Return: 254.1602814161058
Episode: 2 | Return: 466.06676447205865
Episode: 3 | Return: 198.0665089720949
Episode: 4 | Return: 279.8187862098924
Episode: 5 | Return: 523.1659308988793
Episode: 6 | Return: 281.24642726953255
Episode: 7 | Return: 267.16197990178597
Episode: 8 | Return: 393.00892952081773
Episode: 9 | Return: 336.5232229638562
Episode: 10 | Return: 313.01082033423626
Episode: 11 | Return: 485.10655577431316
Episode: 12 | Return: 302.60287302578786
Episode: 13 | Return: 163.3571602362267
Episode: 14 | Return: 284.2208241733241
Episode: 15 | Return: 356.41529686719934
Episode: 16 | Return: 368.94335953591684
Episode: 17 | Return: 369.04584472030126
Episode: 18 | Return: 435.40018920919385
Episode: 19 | Return: 545.2727777876038
Episode: 20 | Return: 423.1457041254206
Episode: 21 | Return: 287.3149860389409
Episode: 22 | Return: 302.44629931956234
Episode: 23 | Return: 116.1023470932788
Episode: 24 | Return: 281.7033242813646
Episode: 25 | Return: 318.1693532430274
Episode: 26 | Return: 367.24198526376574
Episode: 27 | Return: 486.5588762775196
Episode: 28 | Return: 386.83724256768267
Episode: 29 | Return: 290.8960984445512
Episode: 30 | Return: 356.95759284645345
Episode: 31 | Return: 389.39148143321
