Creating window glfw
Episode: 0 | Return: 390.9887770133847
Episode: 1 | Return: 450.2717685255966
[34m[1mwandb[39m[22m: Network error resolved after 0:00:56.196180, resuming normal operation.
Episode: 2 | Return: 445.6157591431118
Episode: 3 | Return: 526.3276451793349
Episode: 4 | Return: 361.73362934106433
Episode: 5 | Return: 267.20803832006175
Episode: 6 | Return: 344.69850717132226
Episode: 7 | Return: 323.395557373405
Episode: 8 | Return: 357.3400007068443
Episode: 9 | Return: 437.1240085695537
Episode: 10 | Return: 493.4316351721158
Episode: 11 | Return: 317.8267396049985
Episode: 12 | Return: 295.34829315353807
Episode: 13 | Return: 442.05747641195154
Episode: 14 | Return: 497.2058810925773
Episode: 15 | Return: 276.03361524463793
Episode: 16 | Return: 414.47755769247914
Episode: 17 | Return: 299.2277506039034
Episode: 18 | Return: 619.800251756799
Episode: 19 | Return: 313.7602783744364
Episode: 20 | Return: 396.2224528144388
Episode: 21 | Return: 388.9241101535676
Episode: 22 | Return: 360.86490564383945
Episode: 23 | Return: 151.44484042220745
Episode: 24 | Return: 452.2983331858843
Episode: 25 | Return: 352.1560393696859
Episode: 26 | Return: 310.0109615382225
Episode: 27 | Return: 362.1319255167743
Episode: 28 | Return: 488.0705709493964
Episode: 29 | Return: 415.2216415992456
Episode: 30 | Return: 364.69670543462416
Episode: 31 | Return: 325.37531939080833
Episode: 32 | Return: 293.19427686232154
Episode: 33 | Return: 278.8220570635951
Episode: 34 | Return: 327.70982768573975
Episode: 35 | Return: 452.2325600200906
Episode: 36 | Return: 338.42479127124204
Episode: 37 | Return: 357.6662169176531
Episode: 38 | Return: 315.3141266276583
Episode: 39 | Return: 314.09227207858765
Episode: 40 | Return: 470.73669051127564
Episode: 41 | Return: 228.47607071930796
Episode: 42 | Return: 409.7023477282653
Episode: 43 | Return: 339.15200028897186
Episode: 44 | Return: 546.0477379552862
Episode: 45 | Return: 324.87751300346275
Episode: 46 | Return: 596.3985943313552
Episode: 47 | Return: 394.20173927369586
Episode: 48 | Return: 467.3334742326833
Episode: 49 | Return: 337.908995187395
