2024-05-28 12:04:32,227 INFO    MainThread:51681 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-28 12:04:32,228 INFO    MainThread:51681 [wandb_setup.py:_flush():76] Configure stats pid to 51681
2024-05-28 12:04:32,228 INFO    MainThread:51681 [wandb_setup.py:_flush():76] Loading settings from /home/alessiatortone/.config/wandb/settings
2024-05-28 12:04:32,228 INFO    MainThread:51681 [wandb_setup.py:_flush():76] Loading settings from /home/alessiatortone/ProjectMLDL/wandb/settings
2024-05-28 12:04:32,228 INFO    MainThread:51681 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-28 12:04:32,228 INFO    MainThread:51681 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-28 12:04:32,228 INFO    MainThread:51681 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test_sb3.py', 'program_abspath': '/home/alessiatortone/ProjectMLDL/test_sb3.py', 'program': 'test_sb3.py'}
2024-05-28 12:04:32,228 INFO    MainThread:51681 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-28 12:04:32,228 INFO    MainThread:51681 [wandb_init.py:_log_setup():520] Logging user logs to /home/alessiatortone/ProjectMLDL/wandb/run-20240528_120432-17ecfizd/logs/debug.log
2024-05-28 12:04:32,229 INFO    MainThread:51681 [wandb_init.py:_log_setup():521] Logging internal logs to /home/alessiatortone/ProjectMLDL/wandb/run-20240528_120432-17ecfizd/logs/debug-internal.log
2024-05-28 12:04:32,229 INFO    MainThread:51681 [wandb_init.py:init():560] calling init triggers
2024-05-28 12:04:32,229 INFO    MainThread:51681 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-05-28 12:04:32,229 INFO    MainThread:51681 [wandb_init.py:init():610] starting backend
2024-05-28 12:04:32,229 INFO    MainThread:51681 [wandb_init.py:init():614] setting up manager
2024-05-28 12:04:32,232 INFO    MainThread:51681 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-28 12:04:32,234 INFO    MainThread:51681 [wandb_init.py:init():622] backend started and connected
2024-05-28 12:04:32,240 INFO    MainThread:51681 [wandb_init.py:init():711] updated telemetry
2024-05-28 12:04:32,253 INFO    MainThread:51681 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-28 12:04:32,702 INFO    MainThread:51681 [wandb_run.py:_on_init():2396] communicating current version
2024-05-28 12:04:32,791 INFO    MainThread:51681 [wandb_run.py:_on_init():2405] got version response 
2024-05-28 12:04:32,791 INFO    MainThread:51681 [wandb_init.py:init():795] starting run threads in backend
2024-05-28 12:04:34,868 INFO    MainThread:51681 [wandb_run.py:_console_start():2374] atexit reg
2024-05-28 12:04:34,868 INFO    MainThread:51681 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-28 12:04:34,868 INFO    MainThread:51681 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-28 12:04:34,868 INFO    MainThread:51681 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-28 12:04:34,870 INFO    MainThread:51681 [wandb_init.py:init():838] run started, returning control to user process
