Creating window glfw
Episode: 0 | Return: 970.7041302334338
Episode: 1 | Return: 890.9009582593823
Episode: 2 | Return: 1598.4697922720143
Episode: 3 | Return: 939.7263159954804
Episode: 4 | Return: 1264.0982267548711
Episode: 5 | Return: 1482.687303112251
Episode: 6 | Return: 1565.454820085781
Episode: 7 | Return: 1052.1451118312962
Episode: 8 | Return: 629.3674023779761
Episode: 9 | Return: 1634.53541310629
Episode: 10 | Return: 926.2083483469843
Episode: 11 | Return: 1630.9851889944614
Episode: 12 | Return: 1018.5465020468447
Episode: 13 | Return: 629.6525405654309
Episode: 14 | Return: 1639.2399645508954
Episode: 15 | Return: 1583.3125852354567
Episode: 16 | Return: 1243.849488373247
Episode: 17 | Return: 1253.0397110756776
Episode: 18 | Return: 1595.1676997014745
Episode: 19 | Return: 918.3316274505214
Episode: 20 | Return: 507.9148951209822
Episode: 21 | Return: 1207.002947305009
Episode: 22 | Return: 967.2954806747861
Episode: 23 | Return: 994.5066278277574
Episode: 24 | Return: 1607.8611679315898
Episode: 25 | Return: 1329.5932732063497
Episode: 26 | Return: 483.7087924471759
Episode: 27 | Return: 1466.294622801256
Episode: 28 | Return: 933.281864810115
Episode: 29 | Return: 1095.4319498374177
Episode: 30 | Return: 1459.03882079046
Episode: 31 | Return: 1625.7925890378367
Episode: 32 | Return: 1512.6284911020646
Episode: 33 | Return: 994.160399068682
Episode: 34 | Return: 1615.5791500361224
Episode: 35 | Return: 385.5841140620542
Episode: 36 | Return: 1439.765116026485
Episode: 37 | Return: 1585.7396670228607
Episode: 38 | Return: 949.7138843231852
Episode: 39 | Return: 1028.723849249114
Episode: 40 | Return: 988.2534030253235
Episode: 41 | Return: 1388.0797116007693
Episode: 42 | Return: 1334.2110014305154
Episode: 43 | Return: 716.9343941987727
Episode: 44 | Return: 945.835146619173
Episode: 45 | Return: 1324.4984871557272
Episode: 46 | Return: 809.0870172373933
Episode: 47 | Return: 1545.5365629418498
Episode: 48 | Return: 1111.4009174731077
Pressed ESC
Quitting.
