
Creating window glfw
Episode: 0 | Return: 595.8263041564429
Episode: 1 | Return: 1433.0869454502279
Episode: 2 | Return: 1483.4733250063177
Episode: 3 | Return: 620.8509006190975
Episode: 4 | Return: 638.3297498504461
Episode: 5 | Return: 662.9828996855952
Episode: 6 | Return: 346.95547655842216
Episode: 7 | Return: 1452.3069816169811
Episode: 8 | Return: 857.0151870398463
Episode: 9 | Return: 935.785236071348
Episode: 10 | Return: 959.5721138694255
Episode: 11 | Return: 769.8973865566264
Episode: 12 | Return: 873.8930707377597
Episode: 13 | Return: 391.3175635558851
Episode: 14 | Return: 637.319335267126
Episode: 15 | Return: 836.0830062698492
Episode: 16 | Return: 749.5245775062288
Episode: 17 | Return: 1441.0835748583543
Episode: 18 | Return: 973.5677912132514
Pressed ESC
Quitting.
