Creating window glfw
Episode: 0 | Return: 183.9696920557185
Episode: 1 | Return: 187.04242381615038
Episode: 2 | Return: 189.48090014136775
Episode: 3 | Return: 180.99186048244076
Episode: 4 | Return: 192.9741249387418
Episode: 5 | Return: 199.16314862556717
Episode: 6 | Return: 189.39453487098453
Episode: 7 | Return: 174.45748081762278
Episode: 8 | Return: 183.22969173134712
Episode: 9 | Return: 178.4009541389302
Episode: 10 | Return: 181.46723812454013
Episode: 11 | Return: 182.82073760127972
Episode: 12 | Return: 194.2895102839343
Episode: 13 | Return: 185.92700829790874
Episode: 14 | Return: 188.5434882774806
Episode: 15 | Return: 190.46105567867545
Episode: 16 | Return: 178.50856888526096
Episode: 17 | Return: 187.01741089475314
Episode: 18 | Return: 186.9998024336691
Episode: 19 | Return: 191.26498145912487
Episode: 20 | Return: 191.56004297639353
Episode: 21 | Return: 177.04082884565312
Episode: 22 | Return: 181.86292160706512
Episode: 23 | Return: 189.72369755972883
Episode: 24 | Return: 199.15416004457094
Episode: 25 | Return: 176.444284491175
Episode: 26 | Return: 188.73188801112232
Episode: 27 | Return: 186.1203512751071
Episode: 28 | Return: 164.05865680358013
Episode: 29 | Return: 204.7039155417389
Pressed ESC
Quitting.
