Creating window glfw
Episode: 0 | Return: 98.6062268130771
Episode: 1 | Return: 556.2633979769422
Episode: 2 | Return: 252.62881785497595
Episode: 3 | Return: 679.2416390586305
Episode: 4 | Return: 352.4003895592778
Episode: 5 | Return: 476.6900962360448
Episode: 6 | Return: 486.25009534729605
Episode: 7 | Return: 834.7218371932528
Episode: 8 | Return: 534.4334367482522
Episode: 9 | Return: 298.5822012266873
Episode: 10 | Return: 256.4945754648661
Episode: 11 | Return: 256.88283612925557
Episode: 12 | Return: 260.14478253573327
Episode: 13 | Return: 696.5489455666124
Episode: 14 | Return: 79.55617390817727
Episode: 15 | Return: 786.1813745094651
Episode: 16 | Return: 702.2871535367832
Episode: 17 | Return: 710.9764347803018
Episode: 18 | Return: 362.34776853747485
Pressed ESC
Quitting.
