
Creating window glfw
Episode: 0 | Return: 903.7875922957337
Episode: 1 | Return: 373.5824954581805
Episode: 2 | Return: 589.3511313101346
Episode: 3 | Return: 1008.420156553202
Episode: 4 | Return: 545.1223622980598
Episode: 5 | Return: 582.5303326168432
Episode: 6 | Return: 415.5279634387242
Episode: 7 | Return: 907.3956158648384
Episode: 8 | Return: 244.0724932041673
Episode: 9 | Return: 989.556583709536
Episode: 10 | Return: 634.8552623421118
Episode: 11 | Return: 426.92929204937496
Episode: 12 | Return: 653.56958052625
Episode: 13 | Return: 972.356057113504
Episode: 14 | Return: 591.4127106880663
Episode: 15 | Return: 408.75369660045254
Episode: 16 | Return: 318.6570375974928
Episode: 17 | Return: 382.8059300200803
Episode: 18 | Return: 1051.3903248977845
Episode: 19 | Return: 1092.690100779871
Episode: 20 | Return: 173.56626503311813
Episode: 21 | Return: 179.34528096033034
Episode: 22 | Return: 157.34677152076785
Episode: 23 | Return: 884.0087510985852
Episode: 24 | Return: 698.9969716189867
Pressed ESC
Quitting.
