Creating window glfw
Episode: 0 | Return: 786.6410574473717
Episode: 1 | Return: 1029.498378972027
Episode: 2 | Return: 1482.1649427973866
Episode: 3 | Return: 1230.1975122786541
Episode: 4 | Return: 1043.407070361332
Episode: 5 | Return: 819.2326062477454
Episode: 6 | Return: 907.1478979605847
Episode: 7 | Return: 1014.1082572390279
Episode: 8 | Return: 965.7309561253343
Episode: 9 | Return: 1259.6726185677392
Episode: 10 | Return: 1297.0736446258045
Episode: 11 | Return: 1000.3601183768737
Episode: 12 | Return: 777.9539371005544
Episode: 13 | Return: 1338.0525453509754
Episode: 14 | Return: 1246.607807302166
Episode: 15 | Return: 860.322206107533
Episode: 16 | Return: 669.9267616181097
Episode: 17 | Return: 1019.9497079264482
Pressed ESC
Quitting.
