
Creating window glfw
Episode: 0 | Return: 179.35907586405983
Episode: 1 | Return: 42.611795695752654
Episode: 2 | Return: 23.859316212484476
Episode: 3 | Return: 26.621527033068002
Episode: 4 | Return: 29.761231692277384
Episode: 5 | Return: 37.592309227631134
Episode: 6 | Return: 17.347432658652313
Episode: 7 | Return: 23.450082407335554
Episode: 8 | Return: 17.748124341252165
Episode: 9 | Return: 12.644090581608781
Episode: 10 | Return: 22.136575503876735
Episode: 11 | Return: 53.81140964172166
Episode: 12 | Return: 34.57134353086716
Episode: 13 | Return: 12.681966744259249
Episode: 14 | Return: 43.441104354190074
Episode: 15 | Return: 80.47279329628323
Episode: 16 | Return: 10.839903560679728
Episode: 17 | Return: 124.90909114194966
Episode: 18 | Return: 46.43483297017507
Pressed ESC
Quitting.
