
Creating window glfw
Episode: 0 | Return: 61.16725939641659
Episode: 1 | Return: 62.97333486941257
Episode: 2 | Return: 60.888711920799395
Episode: 3 | Return: 60.91328888309096
Episode: 4 | Return: 61.00519878037563
Episode: 5 | Return: 60.91950300309685
Episode: 6 | Return: 61.371517299218254
Episode: 7 | Return: 61.073683734087126
Episode: 8 | Return: 61.08961166941643
Episode: 9 | Return: 60.78290795714297
Episode: 10 | Return: 60.85740293440689
Episode: 11 | Return: 61.234840274552774
Episode: 12 | Return: 59.311277680628955
Episode: 13 | Return: 59.228949926672826
Episode: 14 | Return: 60.918794295813406
Episode: 15 | Return: 61.218734936086925
Episode: 16 | Return: 59.005660670136386
Episode: 17 | Return: 60.93626508346516
Pressed ESC
Quitting.
