Creating window glfw
Episode: 0 | Return: 333.93571485884314
Episode: 1 | Return: 312.750878981659
Episode: 2 | Return: 238.35925909815
Episode: 3 | Return: 238.44932197376886
Episode: 4 | Return: 288.5542584128721
Episode: 5 | Return: 267.15071136226
Episode: 6 | Return: 270.88178629301166
Episode: 7 | Return: 246.49758129070935
Episode: 8 | Return: 256.7816541662196
Episode: 9 | Return: 270.50242723914533
Episode: 10 | Return: 261.7819967837894
Episode: 11 | Return: 360.00379512196236
Episode: 12 | Return: 246.54513294844395
Episode: 13 | Return: 243.104780471219
Episode: 14 | Return: 354.8122478579347
Episode: 15 | Return: 285.0041656181997
Episode: 16 | Return: 248.7571879573466
Episode: 17 | Return: 268.5911335018682
Episode: 18 | Return: 313.47672570893627
Episode: 19 | Return: 279.93376755808555
Episode: 20 | Return: 271.8930760124968
Episode: 21 | Return: 258.15413077385614
Episode: 22 | Return: 258.4105843139105
Episode: 23 | Return: 252.557869491933
Episode: 24 | Return: 313.93398363144206
Episode: 25 | Return: 275.01452817668
Episode: 26 | Return: 279.819428320328
Episode: 27 | Return: 264.70983973192966
Episode: 28 | Return: 255.0558885106567
Episode: 29 | Return: 370.61396187991687
Episode: 30 | Return: 234.20991109945223
Episode: 31 | Return: 264.5561639427367
Episode: 32 | Return: 317.9986925131965
Pressed ESC
Quitting.
