entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 1622.3667250510248
Episode: 1 | Return: 1013.0528079869168
Episode: 2 | Return: 542.4947767571523
Episode: 3 | Return: 712.2189572525028
Episode: 4 | Return: 1339.8592708941464
Episode: 5 | Return: 721.5797567258899
Episode: 6 | Return: 759.1336459952478
Episode: 7 | Return: 1572.0579490499506
Episode: 8 | Return: 824.0849180195164
Episode: 9 | Return: 945.7664399360463
Episode: 10 | Return: 685.6610844862837
Episode: 11 | Return: 982.8768711444226
Episode: 12 | Return: 778.0498956668441
Episode: 13 | Return: 533.0479788749504
Episode: 14 | Return: 1414.680595272446
Episode: 15 | Return: 1239.811160990527
Episode: 16 | Return: 680.4060890882153
Episode: 17 | Return: 779.2512391560825
Episode: 18 | Return: 1319.3782821993534
Episode: 19 | Return: 533.3852859733936
Episode: 20 | Return: 823.1535079036801
Episode: 21 | Return: 1036.4905626546094
Episode: 22 | Return: 639.124386638093
Episode: 23 | Return: 1072.2550236483146
Episode: 24 | Return: 729.612727681014
Episode: 25 | Return: 1083.7921129779297
Episode: 26 | Return: 977.066720793916
Episode: 27 | Return: 1054.5504463163938
Episode: 28 | Return: 772.6258984094915
Episode: 29 | Return: 927.0919634304228
Episode: 30 | Return: 597.6088077451677
Episode: 31 | Return: 1312.2775671345123
Episode: 32 | Return: 1574.1189566802764
Episode: 33 | Return: 979.8151255946877
Episode: 34 | Return: 1481.975768006933
Episode: 35 | Return: 1058.634229828876
Episode: 36 | Return: 1010.4889656628088
Episode: 37 | Return: 1403.5604283521366
Episode: 38 | Return: 951.8149251801314
Episode: 39 | Return: 528.8689490916662
Episode: 40 | Return: 1354.5656831194995
Episode: 41 | Return: 1389.3923654400578
Episode: 42 | Return: 602.3367905900881
Episode: 43 | Return: 664.2502029192913
Episode: 44 | Return: 1355.9155803817546
Episode: 45 | Return: 1119.6594953912256
Episode: 46 | Return: 675.5473947807927
Episode: 47 | Return: 1436.6538137744385
Episode: 48 | Return: 526.6593201360108
Episode: 49 | Return: 956.0630593249871
