entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 658.8775537154904
Episode: 1 | Return: 1441.7454087899855
Episode: 2 | Return: 936.7492584707398
Episode: 3 | Return: 1464.4729958589849
Episode: 4 | Return: 975.401629093703
Episode: 5 | Return: 740.3561655151515
Episode: 6 | Return: 1298.0985254223256
Episode: 7 | Return: 1472.196633851584
Episode: 8 | Return: 695.743732403733
Episode: 9 | Return: 1393.3080165310882
Episode: 10 | Return: 531.337119065437
Episode: 11 | Return: 721.2167867456559
Episode: 12 | Return: 1304.541456432341
Episode: 13 | Return: 1418.8532111659642
Episode: 14 | Return: 1396.417742231578
Episode: 15 | Return: 542.4851266607943
Episode: 16 | Return: 526.9107686192257
Episode: 17 | Return: 525.1552231049886
Episode: 18 | Return: 683.8073265894029
Episode: 19 | Return: 757.8642622460937
Episode: 20 | Return: 1002.3482341886772
Episode: 21 | Return: 1323.4652502992246
Episode: 22 | Return: 785.1348494145359
Episode: 23 | Return: 1136.7526500605777
Episode: 24 | Return: 684.6858141860499
Episode: 25 | Return: 546.233883310102
Episode: 26 | Return: 718.4421828947205
Episode: 27 | Return: 1486.2409914909065
Episode: 28 | Return: 525.229042271644
Episode: 29 | Return: 1515.7504606659513
Episode: 30 | Return: 986.8003298924539
Episode: 31 | Return: 525.3399824664145
Episode: 32 | Return: 588.5923734686434
Episode: 33 | Return: 1339.5160236450229
Episode: 34 | Return: 590.4057560902589
Episode: 35 | Return: 1584.773643119382
Episode: 36 | Return: 781.6549754318252
Episode: 37 | Return: 1323.4626242597994
Episode: 38 | Return: 966.2792354772512
Episode: 39 | Return: 971.2071070956406
Episode: 40 | Return: 640.8186886744446
Episode: 41 | Return: 629.0703076183871
Episode: 42 | Return: 1556.103300442493
Episode: 43 | Return: 976.4109454671024
Episode: 44 | Return: 533.6263699408095
Episode: 45 | Return: 406.7809773547715
Episode: 46 | Return: 1063.1781744057482
Episode: 47 | Return: 1329.4059039522542
Episode: 48 | Return: 617.2326188190453
Episode: 49 | Return: 567.331156696352
