entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 667.0917952323081
Episode: 1 | Return: 1586.9230273083012
Episode: 2 | Return: 979.8179113750278
Episode: 3 | Return: 719.998961320071
Episode: 4 | Return: 1314.3392386359096
Episode: 5 | Return: 731.9429330988401
Episode: 6 | Return: 981.7791258318051
Episode: 7 | Return: 970.5244039311391
Episode: 8 | Return: 1417.2166173433757
Episode: 9 | Return: 720.1740188458115
Episode: 10 | Return: 861.7038380569851
Episode: 11 | Return: 1378.712134659528
Episode: 12 | Return: 824.4993682151242
Episode: 13 | Return: 1478.2176232783688
Episode: 14 | Return: 1625.4481889884182
Episode: 15 | Return: 527.5020524013161
Episode: 16 | Return: 602.9786935794107
Episode: 17 | Return: 1402.923296524817
Episode: 18 | Return: 731.4696703951304
Episode: 19 | Return: 1047.5870056695549
Episode: 20 | Return: 685.5039462801838
Episode: 21 | Return: 523.4585839042701
Episode: 22 | Return: 1030.6954657582564
Episode: 23 | Return: 951.0575421450403
Episode: 24 | Return: 553.2962730208334
Episode: 25 | Return: 538.373035137717
Episode: 26 | Return: 538.7066113608531
Episode: 27 | Return: 563.435275887518
Episode: 28 | Return: 1367.8135203893225
Episode: 29 | Return: 757.7832471988899
Episode: 30 | Return: 980.189266107178
Episode: 31 | Return: 529.2661278146655
Episode: 32 | Return: 1590.6217614054272
Episode: 33 | Return: 1483.3032980448584
Episode: 34 | Return: 1414.2062513962228
Episode: 35 | Return: 526.0417953233421
Episode: 36 | Return: 1499.4958825417457
Episode: 37 | Return: 674.8934907101351
Episode: 38 | Return: 1601.6686862725007
Episode: 39 | Return: 1310.237343922386
Episode: 40 | Return: 777.2978938173029
Episode: 41 | Return: 527.9064426998382
Episode: 42 | Return: 528.9891088615364
Episode: 43 | Return: 527.9377315721575
Episode: 44 | Return: 527.8299455112414
Episode: 45 | Return: 971.7992942222137
Episode: 46 | Return: 830.6966323792972
Episode: 47 | Return: 658.7266618905826
Episode: 48 | Return: 958.1406085732918
Episode: 49 | Return: 730.5174256174815
