entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 80.29567528861084
Episode: 1 | Return: 81.90926794843409
Episode: 2 | Return: 82.85200644778054
Episode: 3 | Return: 84.93467807663683
Episode: 4 | Return: 82.75173285600304
Episode: 5 | Return: 83.31111424088571
Episode: 6 | Return: 83.31890063899239
Episode: 7 | Return: 82.95788639748508
Episode: 8 | Return: 86.15135513626932
Episode: 9 | Return: 82.5236653137002
Episode: 10 | Return: 78.7370864109561
Episode: 11 | Return: 78.05380975565431
Episode: 12 | Return: 84.21617115316516
Episode: 13 | Return: 83.4427730902842
Episode: 14 | Return: 81.61870776297388
Episode: 15 | Return: 80.69432745567926
Episode: 16 | Return: 84.46831354110053
Episode: 17 | Return: 81.29040012185362
Episode: 18 | Return: 79.69122268971489
Episode: 19 | Return: 83.58948494652246
Episode: 20 | Return: 78.26582761635852
Episode: 21 | Return: 86.45839013715677
Episode: 22 | Return: 82.77322068222351
Episode: 23 | Return: 82.74981609427793
Episode: 24 | Return: 81.5041445720989
Episode: 25 | Return: 82.52274690621114
Episode: 26 | Return: 79.72508574777575
Episode: 27 | Return: 82.64554014769475
Episode: 28 | Return: 85.00021536055736
Episode: 29 | Return: 81.27381531723027
Episode: 30 | Return: 81.06729358095188
Episode: 31 | Return: 79.7506024828731
Episode: 32 | Return: 81.80581645213188
Episode: 33 | Return: 78.91604330272867
Episode: 34 | Return: 80.88226028778008
Episode: 35 | Return: 83.73149905741508
Episode: 36 | Return: 81.78916480282187
Episode: 37 | Return: 86.67009612756995
Episode: 38 | Return: 80.53979568162326
Episode: 39 | Return: 83.5883655876921
Episode: 40 | Return: 85.34956638685148
Episode: 41 | Return: 78.0567986730718
Episode: 42 | Return: 82.36975740102493
Episode: 43 | Return: 79.99504598155097
Pressed ESC
Quitting.
