Creating window glfw
Episode: 0 | Return: 119.67281599368258
Episode: 1 | Return: 115.27458664622543
Episode: 2 | Return: 266.27786548464485
Episode: 3 | Return: 193.18156315362535
Episode: 4 | Return: 135.4093388926352
Episode: 5 | Return: 92.31121348556445
Episode: 6 | Return: 163.423002806041
Episode: 7 | Return: 147.77142327745423
Episode: 8 | Return: 185.56472347855336
Episode: 9 | Return: 159.3173095632257
Episode: 10 | Return: 118.00849044897588
Episode: 11 | Return: 119.23052371809335
Episode: 12 | Return: 241.26398728151108
Episode: 13 | Return: 81.30949637435137
Episode: 14 | Return: 124.79372897004122
Episode: 15 | Return: 196.30252274317445
Episode: 16 | Return: 174.4185064580369
Episode: 17 | Return: 89.01853670423623
Episode: 18 | Return: 360.70745596481055
Episode: 19 | Return: 83.27880509113587
Episode: 20 | Return: 124.06292069092186
Episode: 21 | Return: 85.32563288738564
Episode: 22 | Return: 104.52015832335972
Episode: 23 | Return: 282.16562719417647
Episode: 24 | Return: 115.77155927399268
Episode: 25 | Return: 158.19893391933255
Episode: 26 | Return: 266.3869603230296
Episode: 27 | Return: 176.56577415334002
Episode: 28 | Return: 89.2175981533941
Episode: 29 | Return: 53.76469743495432
Episode: 30 | Return: 93.6643657842258
Episode: 31 | Return: 112.93676841809922
Episode: 32 | Return: 116.84928971017756
Episode: 33 | Return: 130.7998114168737
Episode: 34 | Return: 214.58526411329862
Episode: 35 | Return: 103.54082630354885
Episode: 36 | Return: 76.33862812127711
Episode: 37 | Return: 129.88647367549424
Episode: 38 | Return: 204.81318345730122
Episode: 39 | Return: 79.33873447997006
Episode: 40 | Return: 96.44860994568474
Episode: 41 | Return: 105.20951491010145
Episode: 42 | Return: 432.11364379619386
Episode: 43 | Return: 129.14753465709055
Episode: 44 | Return: 106.8343511620198
Episode: 45 | Return: 216.68683163826873
Episode: 46 | Return: 117.06986836154756
Episode: 47 | Return: 105.77915876310725
Episode: 48 | Return: 97.67253868489001
Episode: 49 | Return: 115.75722648788144
mean reward = 148.15976765553918
std reward = 73.55936815729498
