Creating window glfw
Episode: 0 | Return: 82.49379353036943
Episode: 1 | Return: 110.75227829368743
Episode: 2 | Return: 149.5699116458411
Episode: 3 | Return: 112.84742862198827
Episode: 4 | Return: 158.4191181936851
Episode: 5 | Return: 101.24622083977484
Episode: 6 | Return: 91.92198121130471
Episode: 7 | Return: 274.7177780463779
Episode: 8 | Return: 339.14321134699674
Episode: 9 | Return: 115.19656529198991
Episode: 10 | Return: 100.02803704889268
Episode: 11 | Return: 177.52793722905471
Episode: 12 | Return: 157.5209247059545
Episode: 13 | Return: 127.93069535571891
Episode: 14 | Return: 55.3575721877646
Episode: 15 | Return: 70.97043184900835
Episode: 16 | Return: 85.94044221506229
Episode: 17 | Return: 255.77882237923686
Episode: 18 | Return: 183.70862889651363
Episode: 19 | Return: 235.61841957244573
Episode: 20 | Return: 175.47406400619215
Episode: 21 | Return: 143.49674238693717
Episode: 22 | Return: 107.49021987397076
Episode: 23 | Return: 127.93799522070665
Episode: 24 | Return: 69.99981430998162
Episode: 25 | Return: 256.3685956649916
Episode: 26 | Return: 90.79556792561499
Episode: 27 | Return: 72.85277913403837
Episode: 28 | Return: 135.1019639584762
Episode: 29 | Return: 250.4210971154179
Episode: 30 | Return: 93.85213248116936
Episode: 31 | Return: 105.42674789415176
Episode: 32 | Return: 102.29478424010661
Episode: 33 | Return: 135.68691907357118
Episode: 34 | Return: 114.86613849514715
Episode: 35 | Return: 98.53130685355515
Episode: 36 | Return: 220.0912517173017
Episode: 37 | Return: 239.04109028815625
Episode: 38 | Return: 238.88096383147763
Episode: 39 | Return: 66.25559484473023
Episode: 40 | Return: 301.59034272236477
Episode: 41 | Return: 345.5517529358868
Episode: 42 | Return: 101.47928805371534
Episode: 43 | Return: 134.89153273739174
Episode: 44 | Return: 191.28623168984913
Episode: 45 | Return: 100.12173665048913
Episode: 46 | Return: 238.3673712945473
Episode: 47 | Return: 149.8843294396831
Episode: 48 | Return: 99.20077157261368
Episode: 49 | Return: 168.63280063496333
mean reward = 153.25124251017732
std reward = 73.01012464886404
