entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 453.7390468102672
Episode: 1 | Return: 469.4830844071854
Episode: 2 | Return: 456.6259229896505
Episode: 3 | Return: 462.47200933651146
Episode: 4 | Return: 463.9826033901595
Episode: 5 | Return: 458.5341848917939
Episode: 6 | Return: 457.6654229846778
Episode: 7 | Return: 464.42244447811987
Episode: 8 | Return: 458.2917579343618
Episode: 9 | Return: 463.1102856384511
Episode: 10 | Return: 453.2764284911873
Episode: 11 | Return: 722.3320425215775
Episode: 12 | Return: 734.8617208596232
Episode: 13 | Return: 466.1526062924278
Episode: 14 | Return: 465.0498034738777
Episode: 15 | Return: 468.9400745995708
Episode: 16 | Return: 457.63364192659253
Episode: 17 | Return: 464.18158068836743
Episode: 18 | Return: 466.6468945699627
Episode: 19 | Return: 467.1276784867292
Pressed ESC
Quitting.
