entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 481.66110306851687
Episode: 1 | Return: 486.6038432908396
Episode: 2 | Return: 489.33181160241793
Episode: 3 | Return: 474.8970114311766
Episode: 4 | Return: 493.23777395799004
Episode: 5 | Return: 479.62340072116274
Episode: 6 | Return: 485.1530226761272
Episode: 7 | Return: 485.6746692702895
Episode: 8 | Return: 499.76304264137985
Episode: 9 | Return: 807.7863062837914
Episode: 10 | Return: 484.5900418084893
Episode: 11 | Return: 486.3011278261394
Episode: 12 | Return: 497.1868159610937
Episode: 13 | Return: 487.09837932514597
Episode: 14 | Return: 521.812672916679
Episode: 15 | Return: 496.66497920659106
Episode: 16 | Return: 482.6618467031051
Episode: 17 | Return: 497.8919089381274
Episode: 18 | Return: 466.30168353266697
Episode: 19 | Return: 483.15802593943295
Episode: 20 | Return: 469.8274700840041
Episode: 21 | Return: 793.0233957616673
Episode: 22 | Return: 483.50541652205095
Episode: 23 | Return: 483.7760134671792
Episode: 24 | Return: 464.24398236442937
Episode: 25 | Return: 471.54857299543687
Episode: 26 | Return: 498.6754143238152
Episode: 27 | Return: 481.515861123556
Episode: 28 | Return: 484.8311055941425
Pressed ESC
Quitting.
