Creating window glfw
Episode: 0 | Return: 91.8535840896754
Episode: 1 | Return: 80.62260966381061
Episode: 2 | Return: 195.4813580232612
Episode: 3 | Return: 148.00674066854776
Episode: 4 | Return: 87.28834456847885
Episode: 5 | Return: 86.54779866247138
Episode: 6 | Return: 73.68684391166559
Episode: 7 | Return: 203.89213126135044
Episode: 8 | Return: 144.78781693690013
Episode: 9 | Return: 114.87732993064402
Episode: 10 | Return: 88.39790372766917
Episode: 11 | Return: 78.35585420191607
Episode: 12 | Return: 89.20531871232154
Episode: 13 | Return: 70.75834338211449
Episode: 14 | Return: 178.2011815826273
Episode: 15 | Return: 93.45588974303107
Episode: 16 | Return: 146.10642647391674
Episode: 17 | Return: 141.33784081498203
Episode: 18 | Return: 117.92793651326532
Episode: 19 | Return: 97.49920804824066
Episode: 20 | Return: 65.23274496440507
Episode: 21 | Return: 68.31420124139454
Episode: 22 | Return: 160.36706866948683
Episode: 23 | Return: 124.46304981308528
Episode: 24 | Return: 215.10018221825865
Episode: 25 | Return: 180.42899921662323
Episode: 26 | Return: 86.88397048430177
Episode: 27 | Return: 69.32781607881778
Episode: 28 | Return: 84.69458770119643
Episode: 29 | Return: 247.40129421970474
Episode: 30 | Return: 93.84757612379148
Episode: 31 | Return: 94.02270042872982
Episode: 32 | Return: 116.03423583377017
Episode: 33 | Return: 84.70918071829885
Episode: 34 | Return: 76.07773104662597
Episode: 35 | Return: 163.80423239946612
Episode: 36 | Return: 80.94523813498994
Episode: 37 | Return: 195.24411292818417
Episode: 38 | Return: 103.10265450305955
Episode: 39 | Return: 121.67984892623251
Episode: 40 | Return: 110.77963677834273
Episode: 41 | Return: 114.84975128676895
Episode: 42 | Return: 287.0032568166435
Episode: 43 | Return: 120.3175698994686
Episode: 44 | Return: 93.57292114988047
Episode: 45 | Return: 158.47517759774362
Episode: 46 | Return: 76.26683002435115
Episode: 47 | Return: 78.03814886274479
Episode: 48 | Return: 74.97014781384756
Episode: 49 | Return: 101.42863378625962
mean reward = 119.51347921166727
std reward = 49.799251704998944
