2024-06-11 16:57:50,394 INFO    MainThread:64729 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_setup.py:_flush():76] Configure stats pid to 64729
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_setup.py:_flush():76] Loading settings from /home/lisag/.config/wandb/settings
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_setup.py:_flush():76] Loading settings from /home/lisag/Project/wandb/settings
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test.py', 'program_abspath': '/home/lisag/Project/test.py', 'program': 'test.py'}
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_init.py:_log_setup():520] Logging user logs to /home/lisag/Project/wandb/run-20240611_165750-7z5zlunq/logs/debug.log
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_init.py:_log_setup():521] Logging internal logs to /home/lisag/Project/wandb/run-20240611_165750-7z5zlunq/logs/debug-internal.log
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_init.py:init():560] calling init triggers
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_init.py:init():610] starting backend
2024-06-11 16:57:50,395 INFO    MainThread:64729 [wandb_init.py:init():614] setting up manager
2024-06-11 16:57:50,397 INFO    MainThread:64729 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-11 16:57:50,398 INFO    MainThread:64729 [wandb_init.py:init():622] backend started and connected
2024-06-11 16:57:50,402 INFO    MainThread:64729 [wandb_init.py:init():711] updated telemetry
2024-06-11 16:57:50,410 INFO    MainThread:64729 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-11 16:57:50,906 INFO    MainThread:64729 [wandb_run.py:_on_init():2402] communicating current version
2024-06-11 16:57:51,101 INFO    MainThread:64729 [wandb_run.py:_on_init():2411] got version response 
2024-06-11 16:57:51,101 INFO    MainThread:64729 [wandb_init.py:init():795] starting run threads in backend
2024-06-11 16:57:52,702 INFO    MainThread:64729 [wandb_run.py:_console_start():2380] atexit reg
2024-06-11 16:57:52,702 INFO    MainThread:64729 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-11 16:57:52,702 INFO    MainThread:64729 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-11 16:57:52,702 INFO    MainThread:64729 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-11 16:57:52,703 INFO    MainThread:64729 [wandb_init.py:init():838] run started, returning control to user process
2024-06-11 16:58:01,180 WARNING MsgRouterThr:64729 [router.py:message_loop():77] message_loop has been closed
