
entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 65.86993078111642
Episode: 1 | Return: 63.67086772762235
Episode: 2 | Return: 63.73693278866969
Episode: 3 | Return: 65.32060068439218
Episode: 4 | Return: 63.76444975408579
Episode: 5 | Return: 63.44165452565624
Episode: 6 | Return: 63.56365412406651
Episode: 7 | Return: 65.54344573515772
Episode: 8 | Return: 63.54106492671365
Episode: 9 | Return: 67.90728563030875
Episode: 10 | Return: 65.84772849847313
Episode: 11 | Return: 63.80159147123545
Episode: 12 | Return: 65.82142598252196
Episode: 13 | Return: 65.45267112005875
Episode: 14 | Return: 65.77328017809992
Episode: 15 | Return: 65.63360139934278
Episode: 16 | Return: 65.69786724719854
Episode: 17 | Return: 65.86942075480295
Episode: 18 | Return: 65.31898533672485
Episode: 19 | Return: 65.74267039743668
Episode: 20 | Return: 63.71870872477318
Episode: 21 | Return: 65.64616661044212
Episode: 22 | Return: 63.49562361736846
Episode: 23 | Return: 65.79608638915785
Episode: 24 | Return: 63.49323325564057
Episode: 25 | Return: 63.398683896988246
Episode: 26 | Return: 65.62445917157282
Episode: 27 | Return: 63.362120623803904
Episode: 28 | Return: 65.63922407824549
Episode: 29 | Return: 63.35451294330881
Episode: 30 | Return: 63.34884906850042
Episode: 31 | Return: 65.4066498017342
Episode: 32 | Return: 65.75915066577971
Episode: 33 | Return: 65.7692936129812
Episode: 34 | Return: 65.47317450678193
Episode: 35 | Return: 65.3285238731248
Episode: 36 | Return: 65.78981369988382
Episode: 37 | Return: 63.60753395038914
Episode: 38 | Return: 63.40003731795121
Episode: 39 | Return: 65.60125932530906
Episode: 40 | Return: 65.61941521379187
Episode: 41 | Return: 63.75441979372963
Pressed ESC
Quitting.
