
entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 190.37570777874257
Episode: 1 | Return: 177.07453524354312
Episode: 2 | Return: 188.34028877652526
Episode: 3 | Return: 192.05654127188757
Episode: 4 | Return: 178.34480210325168
Episode: 5 | Return: 179.28580600648695
Episode: 6 | Return: 182.34792380599126
Episode: 7 | Return: 177.97393116199237
Episode: 8 | Return: 188.4197696040765
Episode: 9 | Return: 179.40067882729832
Episode: 10 | Return: 181.7757131584299
Episode: 11 | Return: 177.38943442086182
Episode: 12 | Return: 178.74382209910064
Episode: 13 | Return: 194.43288915338334
Episode: 14 | Return: 193.28074842319668
Episode: 15 | Return: 184.70855237692436
Episode: 16 | Return: 180.50375170861136
Episode: 17 | Return: 187.10897114894888
Episode: 18 | Return: 172.09218416173476
Episode: 19 | Return: 175.20800316390137
Episode: 20 | Return: 180.12126981493594
Episode: 21 | Return: 174.96770508477775
Episode: 22 | Return: 509.52291900863696
Episode: 23 | Return: 174.8704338447468
Episode: 24 | Return: 188.0221371374228
Episode: 25 | Return: 186.44704649916594
Episode: 26 | Return: 175.87042189469733
Episode: 27 | Return: 186.8282863814367
Episode: 28 | Return: 178.85944465380467
Episode: 29 | Return: 190.58734527048304
Episode: 30 | Return: 180.6463863349126
Pressed ESC
Quitting.
