
entra nella modifica xml
Creating window glfw
Episode: 0 | Return: 1173.4522545450504
Episode: 1 | Return: 1014.2993838721853
Episode: 2 | Return: 1086.578352738637
Episode: 3 | Return: 1101.586417777687
Episode: 4 | Return: 805.5562842670336
Episode: 5 | Return: 1354.740813700098
Episode: 6 | Return: 1021.9078662434473
Episode: 7 | Return: 743.2003139876923
Episode: 8 | Return: 798.5484210060315
Episode: 9 | Return: 1040.9937788313264
Episode: 10 | Return: 1149.620089745745
Episode: 11 | Return: 803.3518249201819
Episode: 12 | Return: 1032.0335953384183
Episode: 13 | Return: 1392.6851474033883
Episode: 14 | Return: 1075.2514643786874
Episode: 15 | Return: 1080.168247789832
Episode: 16 | Return: 1075.8404813955128
Episode: 17 | Return: 1009.9407126658134
Episode: 18 | Return: 871.2517072770917
Episode: 19 | Return: 1390.6794460475535
Episode: 20 | Return: 715.7200931369697
Episode: 21 | Return: 1101.8032940681683
Episode: 22 | Return: 1057.4081854669598
Episode: 23 | Return: 825.5984363373553
Episode: 24 | Return: 921.2019140146109
Episode: 25 | Return: 812.9208884065147
Episode: 26 | Return: 1099.0630773858995
Episode: 27 | Return: 1032.0582085122458
Episode: 28 | Return: 1051.9542974688727
Episode: 29 | Return: 1197.5009168417305
Episode: 30 | Return: 1120.600683009134
Episode: 31 | Return: 1095.019900800757
Episode: 32 | Return: 850.1026364833311
Episode: 33 | Return: 1047.781004049988
Episode: 34 | Return: 874.3907405515863
Episode: 35 | Return: 1372.5502493071338
Episode: 36 | Return: 686.1852704689021
Episode: 37 | Return: 810.1520248671933
Episode: 38 | Return: 1169.8812131301913
Episode: 39 | Return: 1363.113527270873
Episode: 40 | Return: 1423.2057731947048
Episode: 41 | Return: 955.7097004932174
Episode: 42 | Return: 1320.989980217582
Episode: 43 | Return: 1383.3439325117417
Episode: 44 | Return: 1007.1844928755986
Episode: 45 | Return: 1036.996710845999
Episode: 46 | Return: 954.2632774753218
Episode: 47 | Return: 1372.1469999729177
Episode: 48 | Return: 729.5101218438311
Episode: 49 | Return: 1030.4645600140607
mean reward = 1048.8101742990962
std reward = 198.4278105213679
